企业id,企业名称,统一社会信用代码,注册资本,category_id,keywords
449,华通电脑（惠州）有限公司,91441300617910143E,"13,000万(美元)",33,笔记本主板|UL94V-0|计算机外设基板|手机板|服务器工作站主板|证书|通信用基板|印刷电路板|桌式型
450,华通精密线路板（惠州）股份有限公司,91441322763847680M,"128,054.984万(元)",20,集成电路|精密线路板|汽车配件|移动通讯设备|电子终端
451,南京万拓生物科技有限公司,91320193MA1MRP6D9E,506万(元),45,化妆品|技术开发|生物科技|医疗器械|精细化工
452,南京国环科技股份有限公司,91320100339348292G,"1,234.83万(元)",86,国环科技|环境污染|生态环保|污染治理|环境影响评价
453,南京大学城市规划设计研究院有限公司,91320106249705161P,800万(元),53,相关技术服务培训|技术服务|分设机构|甲级|城市规划
454,南京尚道企业管理有限公司,91320113070739310T,50万(元),53,尚道|会展服务|商务咨询|企业管理
455,南京微纳科技研究院有限公司,91320191MA1YKDY6X1,500万(元),53,孵化|技术服务|微纳|科技创新
456,南京捷科生物科技有限公司,91320113075875071N,300万(元),46,环保设备|计算机网络|化工|机械加工|生物工程技术
457,南京航启电液控制设备有限公司,91320191MA1MYEH43R,101万(元),67,电气机械|电液控制设备|机电产品|智能材料电机转换器|器材
458,南宝树脂（中国）有限公司,9132058362841820XU,"1,000万(美元)",90,粉体涂料|水性涂料|销售自产产品|危险化学品生产|化学品批发
459,南方出版传媒股份有限公司,91440000699718840J,"89,587.6566万(元)",53,文化用品|体育用品|出版物|法律事务|印刷
460,南方电网科学研究院有限责任公司,914400005645564342,"10,000万(元)",69,设备制造|电网研究|技术支持|技术研发|软件开发
461,南方电网综合能源股份有限公司,914400005666840936,"378,787.8787万(元)",66,综合能源|改造|清洁能源|诊断|碳减排|经济收益|南方电网|节能减排|社会效益|节能服务
462,南方电网财务有限公司,91440000190478709T,"700,000万(元)",69,担保|信用鉴证|电力|融资顾问|财务
463,南方石墨有限公司,914310005702950666,"100,000万(元)",53,机电设备|化工产品|石墨制品|矿山开采|新材料|石墨浮选提纯|建筑材料
464,南昌勃林格殷格翰动物保健有限公司,91360000612415020B,"1,650万(美元)",110,生产线|兽用生物制品|高新技术园区
465,南海国际货柜码头有限公司,914406056176326227,"4,280万(美元)",78,集装箱|陆上运送|仓库|货物装卸|港口
466,南澳县海顺船舶修造有限责任公司,91440523708043428A,516万(元),74,机械设备|钢结构|船舶|拆除|海工
467,博济医药科技股份有限公司,91440101743555883K,"36,871.7683万(元)",45,CRO+CDMO|医疗器械|医药
468,博睿康科技（常州）股份有限公司,91320412585588849B,"1,537.2549万(元)",53,机械设备|外贸|医疗器械|软件开发|技术咨询服务
469,博福--益普生(天津)制药有限公司,911201166009085655,"8,000万(元)",45,医疗器械经营|医药|药品生产|医疗咨询|第三方医疗器械经营
470,博罗龙华宾华皮革有限公司,914413006179115416,"2,500万(元)",53,物业管理|莱钢|物业|博罗|销售
471,卡博特高性能材料（深圳）有限公司,91440300570042763A,"5,274.7253万(元)",62,硅|导电炭黑|炭黑|审批|气相三氧化二铝|知识产权|技术研发|气相二氧化硅|货物与技术的进出口|石墨
472,厦门中嘉信息科技有限公司,91350203051163942N,200万(元),53,
473,厦门同安市政建设开发有限公司,91350212155324907L,"5,000万(元)",83,广告设计|工程建设|水利工程|园林景观设计|市政建设
474,厦门市翔安投资集团有限公司,91350213678291630W,"165,466.74万(元)",132,融资|物业管理|资产管理|投资|旅游业|房地产开发
475,厦门普理信息科技有限公司,91350200MA330WA22F,500万(元),53,技术研究开发|机械设备|材料研究|技术服务|信息咨询|电子产品|数字化内容|软件开发|科技推广|专业设计
476,厦门美柚股份有限公司,9135020007937301XB,"4,000万(元)",53,箱|钟表|其他日用品零售|鞋帽零售|第一类医疗器械批发|信息技术咨询|纺织品及针织品零售|软件开发|信息系统集成服务|其他文化用品零售
477,厦门鹭晨兴建设工程有限公司,91350206MA33JHFY91,500万(元),83,管道和设备安装|机械设备租赁|市政公用事业|公路工程建筑|市政道路工程建筑|电气安装|铁路工程建筑|市政道路建设|景观设计|建筑施工
478,友盟同欣（北京）科技有限公司,91110108575155222E,"3,153.65万(元)",53,广告|计算机|网络技术|软件开发|咨询
479,友联船厂（蛇口）有限公司,91440300618808255L,"10,000万(美元)",74,金属结构件|船舶|海洋工程|海洋钻井平台|海上安全救生设备
480,友邦海洋科技（广州）有限公司,91440101MA59GKNH1J,50万(元),74,海洋科技|信息技术咨询|数字动漫制作|地理信息处理|计算机网络技术
481,可孚医疗科技股份有限公司,91430111696240992G,"20,848.75万(元)",46,产品类型|市场占有率|品牌|备案证书|医疗器械|专利|服务|销售|种类
482,台山市恒轩台球精品有限公司,91440781MA4UT8XQ4U,200万(元),53,台球用品|台球杆|生产加工|台球
483,台山市精诚达电路有限公司,91440781666547555J,"10,300万(元)",20,销售代理|进出口|批发|台山|零售|电路|元器件|技术进出口
484,台达化工（中山）有限公司,91442000712315481B,"4,625万(美元)",90,闲置厂房出租|苯乙烯系列聚合物|聚苯乙烯
485,合肥中科光博量子科技有限公司,91340100MA2NG5DJ02,"1,963.0165万(元)",53,仪器|光电|无人机|遥感|软件开发
486,合肥元晶科技材料有限公司,913401005501832002,500万(元),20,溅射靶材|光电材料|电子产品|检测设备|晶体材料
487,合肥召洋电子科技有限公司,913401000998034436,"2,630.5385万(元)",20,电池|计算机软件|技术开发|技术咨询|通信设备|储能服务|电子产品|软件开发|技术转让|太阳能发电服务
488,合肥欧创基因生物科技有限公司,91340100MA2R986Q7D,"16,000万(元)",44,医疗器械生产|生物化工产品|科技服务|化工产品生产|房产出租
489,合肥科晶材料技术有限公司,913401001490220724,504.91万(美元),68,材料实验室|创新科技|高等院校|高新技术|电池|国际知名企业|高温超导薄膜|科研合作|石墨烯|纳米材料
490,吉安科茂树脂有限公司,91360821794769793X,"2,000万(元)",53,松香深加工|松香|松节油销售
491,吉林省东承住化汽车复合塑料有限公司,9122000057890118X8,"24,000万(元)",71,复合工程塑料|汽车|对外投资|高速公路运输
492,吉祥芝国医馆（广州）健康管理顾问有限公司,91440111MA59BW992D,"1,000万(元)",53,
493,同方威视技术股份有限公司,91110108710927548B,"18,500万(元)",53,安全检查|产品和服务|安检|安防|技术创新
494,同略科技有限公司,914401060681691959,"5,100万(元)",22,监控系统|安全防护|计算机安全|RFID设备|办公室用品|工程监理|建筑设计|电子工程|计算机硬件|物联网研究
495,名臣健康用品股份有限公司,91440500193161133K,"22,217.0055万(元)",53,企业管理|房地产租赁|信息技术咨询|投资|技术转让
496,君兆建设控股集团有限公司,91440106068699532L,"10,339万(元)",83,水暖管道|物业管理信息系统|室内设计|物业管理软件开发|市政工程|通信工程|钢结构|保温隔热|物业管理咨询服务|物业管理信息化建设
497,唐山普伦特科技有限公司,91130205MA08H4D00B,"4,000万(元)",66,电力电子元器件销售|机械电气设备销售|电子专用设备销售|光伏发电设备租赁|办公用品销售|专用设备修理|工程管理服务|仪器仪表销售|仪器仪表修理|金属材料销售
498,唯品会（广州）软件有限公司,91440101MA9W5B325E,100万(元),53,软件开发|计算机网络|技术支持|信息咨询
499,四会市格鲁森润滑技术有限公司,91441284592195699N,"1,000万(元)",53,技术开发|技术咨询|技术服务|技术培训|技术研究
500,四会市祥顺饲料经营部,-,,53,饲料销售|销售|畜牧渔业|添加剂销售
501,四会市黎氏农业畜牧发展有限公司,91441284052445669K,205万(元),53,蔬果种植|林木种植|淡水鱼养殖|生猪养殖|四会市
502,四川佳裕盛元市政工程有限公司,91510116MABNN1FK5E,200万(元),79,劳务服务|设备安装|环保监测|市政建设
503,四川光大制药有限公司,915101006217025828,"14,900万(元)",45,中西成药|药品生产|中西药|外商投资|保健品
504,四川圣迪乐村生态食品股份有限公司,915107007496083093,"5,041.966万(元)",107,养殖|粮食采购|食品加工|饲料生产|销售
505,四川赛莱格生物科技股份有限公司,91510100MA6C64UN14,500万(元),44,饲料|技术开发|β-葡聚糖|生物技术|国际贸易
506,四维尔丸井（广州）汽车零部件有限公司,9144011676403856XC,"6,559.824万(元)",57,光学器件|金属标牌|信息咨询|汽车零部件|仪器仪表
507,国义招标股份有限公司,914400001903718642,"15,382万(元)",53,全流程|国义招标|招标代理服务|挂牌上市|招标增值服务
508,国光电器股份有限公司,91440101618445482W,"46,838.3913万(元)",20,TWS耳机|扬声器单元|聚合物锂电池|Wi-Fi|VR/AR声学组件|智能音箱|仿真|电子硬件|蓝牙|DSP
509,国家电投集团科学技术研究院有限公司,91110000576861612E,"120,000万(元)",53,物联网|新材料|智能制造|战略性技术|太阳能|知识产权保护|清洁低碳|技术创新成果|科技成果转化|新能源产业
510,国家管网集团广东省管网有限公司,91440000673076616B,"444,461.5385万(元)",42,省际贯通|反输天然气|天然气主干管
511,国家能源集团科学技术研究院有限公司,91320100682534738T,"29,936万(元)",66,电力系统|安全咨询|实验室|标准化|技术研发
512,国开启科量子技术（北京）有限公司,91110108MA004RAE05,"3,587.5万(元)",53,通信设备|安全防范产品|电子产品|软件开发
513,国微集团（深圳）有限公司,91440300734162957A,"22,000万(元)",20,集成电路|应用|安全芯片|半导体|智能化
514,国投广东生物能源有限公司,914408231947812035,"9,174.49万(元)",111,乙醇|研究开发|玉米|技术开发|小麦|大豆|进口|变性乙醇|技术转让|货物出口
515,国海证券股份有限公司,91450300198230687E,"544,452.5514万(元)",53,期货|机构|全国性|私募股权投资|综合性|另类投资|金融服务|证券|政府|客户服务
516,国网江苏省电力有限公司,91320000134766570R,"11,541,854.7611万(元)",69,省属电网|战略|电力|客户
517,国药集团致君（深圳）制药有限公司,91440300192190290M,"20,000万(元)",45,欧洲认证|企业转型|品质卓越|品牌产品|呼吸系统药品|消炎镇痛|国际市场|抗感染类
518,国银金融租赁股份有限公司,91440300619290064R,"1,264,238万(元)",132,金融租赁|资产管理|设备租赁|融资租赁
519,圣刚表面处理（深圳）有限公司,91440300678556985C,"1,000万(元)",53,物业租赁|生产加工
520,城乡院（广州）有限公司,91440101MA9XX7MTX7,"5,000万(元)",79,地质灾害治理服务|市政设施管理|信息技术咨询服务|数据处理服务|云计算平台服务|土地整治服务|土地调查评估|档案服务外包|软件开发|计算机网络服务
521,增城市东阳摩托车实业有限公司,91440183718142534A,200万(元),53,摩托车|零部件制造|批发贸易|整车制造|零配件批发|技术进出口
522,增城新和自来水有限公司,91440183618770285E,"20,000万(元)",80,水管施工服务|自来水生产|供水
523,大冶有色金属广州资产管理有限公司,91440103327523735D,600万(元),61,
524,大唐移动通信设备有限公司,91110108733466019G,"150,113.0586万(元)",24,TD-SCDMA|自主研发系统|终端产品线|客户服务
525,大圣科技股份有限公司,91440101MA59D98W22,"55,947.7121万(元)",53,汽车|拼多多|保险
526,大川（清新）塑料制品有限公司,91441800734106234U,150万(美元),53,纸制品销售|PVC|塑料制品|PP|纸制品|货物进出口|CA
527,大族激光科技产业集团股份有限公司,91440300708485648T,"105,173.7771万(元)",53,普通货物运输|激光|机器人|自动化|资产管理|国际贸易
528,大昌树脂（惠州）有限公司,914413006178922643,"2,450万(香港元)",53,树脂|危险品|涂料|审批|化工
529,大有华夏生物医药集团有限公司,91110108MA008GFD61,"30,750万(元)",45,进出口|生物制药|批发|医疗器械|电子产品
530,大连瑞光非织造布集团有限公司,912102007169152810,"1,136.8万(元)",53,包装物销售|进出口业务|化工材料|膜生产|非织造布
531,天士力医药集团股份有限公司,9112000023944464XD,"149,970.013万(元)",45,生物医药|健康管理|现代化|科技创新
532,天宝电子（惠州）有限公司,91441300724799655N,"27,600万(香港元)",68,PCB组件|变压器|开关电源|充电器|LED驱动器
533,天棣智能科技（广州）有限公司,91310113MA1GKP73XC,"1,000万(元)",37,物联网|大数据|网络安全|人工智能|云计算
534,天津中新科炬生物制药股份有限公司,9112011674912841XT,"3,860万(元)",45,电子产品制造|技术服务|生物制药|医疗器械生产|医疗器械销售
535,天津市芯联物语科技股份有限公司,91120116687746502W,530万(元),22,集成电路|网络安全|人工智能|电子产品|软件开发
536,天津瑞普生物技术股份有限公司,91120116730357968N,"46,801.8786万(元)",45,GMP|制药|动物疾病|瑞普生物|生物制品
537,天津科赛光电子材料科技有限公司,91120116055281807L,50万(元),62,有机光电材料|光电材料|技术开发|染料|咨询服务
538,天涯社区网络科技股份有限公司,9146000071381037XR,"9,300万(元)",53,广告|网络媒体运营|软件开发&集成|网络服务|电信业务服务
539,天维尔智联科技（深圳）有限公司,91440300MA5FJXTR9D,200万(元),53,
540,天际新能源科技股份有限公司,9144050061839817XE,"40,855.2567万(元)",68,电池|化工产品|家居用品|环保材料|塑料|家电|化学产品|房产租赁|专用化学产品|房屋出租
541,天马微电子股份有限公司,914403001921834459,"245,774.7661万(元)",20,全球化|技术投资|显示解决方案|客户定制化|创新型企业
542,奇安信网神信息技术（北京）股份有限公司,911101087855446996,"418,300万(元)",39,云计算|大数据|安全技术|网络与安全|智能安全
543,好来化工（中山）有限公司,91442000617592878P,"2,500万(美元)",53,黑人大白牙膏|口腔护理产品|数字化管理系统|黑人大牙刷
544,威创集团股份有限公司,9144010173974661X9,"90,621.4651万(元)",53,幼儿园运营管理服务
545,威海人生药业集团股份有限公司,91371000312829555P,"7,602.2155万(元)",45,玻璃仪器|体育用品|医疗器械|生药|保健食品
546,媛涵（广州）化妆品研究开发有限公司,91440101MA9W4L4E1D,100万(元),48,
547,宁波市海曙佳纳金属工贸有限公司,91330203713364904G,50万(元),53,仓储服务|进出口|厨具|汽车配件|金属制品
548,宁波市知行光学科技有限公司,91330281MA2CH5411R,100万(元),27,灯具销售|电子产品制造|技术开发|技术咨询|照相机销售|光学仪器制造|电子专用材料销售|特殊陶瓷制品制造|金属材料销售|光学玻璃制造
549,宇龙计算机通信科技(深圳)有限公司,914403006188455588,"140,300万(元)",29,智能手机|高新技术|软件|高新技术企业|移动数据平台|纳税|手机|增值服务|专利
550,安利（中国）日用品有限公司,914401016184194872,"12,610万(美元)",53,产品|投资|企业介绍|生产基地
551,安婕妤化妆品科技股份有限公司,91440101741892755M,"9,000万(元)",48,技术推广|财务咨询|食品用洗涤剂生产|物业管理|技术交流|住房租赁|生活美容服务|食品销售|消毒剂销售|互联网销售
552,安徽万炜特建设有限公司,91341602MA2U5QBH59,"1,066万(元)",67,输变电工程|楼宇亮化工程|环保产品|城市及道路照明工程|交通设施工程|电力工程|电气安装|市政公用工程|建筑施工|电子与智能化工程
553,安徽伯华氢能源科技有限公司,91340621MA2TTGDW34,"1,000万(元)",66,机械设备|技术开发|汽车|燃料电池|软件开发|零部件
554,安徽智飞龙科马生物制药有限公司,91340100726322279A,"76,500万(元)",45,生物制品|生产企业|疾病
555,安徽环轩材料科技有限公司,91340111MA2W72REXX,"1,127.27万(元)",62,化学化工仪器设备|仪器仪表设备|高效环保催化剂|会议推广服务
556,安徽膳尚医生物技术有限公司,91340881MA2UJCWM8G,500万(元),44,医疗器械|生物技术开发|食品研发|茶叶
557,安徽金禾实业股份有限公司,91341100796433177T,"56,091.8198万(元)",53,金禾|新材料|生物材料|化工
558,安徽长江药业有限公司,91340200733036887Q,"7,000万(元)",45,长江|医药
559,安思瑞半导体科技(上海)有限公司,91310113MA1GNN3E5N,240万(元),20,电子技术|光学|安思瑞半导体科技|电力电子|半导体
560,完美（中国）有限公司,91442000617592341J,"3,800万(美元)",53,大数据|化妆品|健康管理|智能制造|个人护理品|跨境电商|小型厨具|保洁用品|健康食品
561,宏大爆破工程集团有限责任公司,914401013210286373,"50,000万(元)",83,矿业开采|选矿|化工产品销售|机械设备销售|建筑工程设计|道路货物运输|爆破作业|建筑物拆除作业|建筑施工|建筑工程监理
562,宗申·比亚乔佛山摩托车企业有限公司,914406006176368691,"2,980万(美元)",53,摩托车|维修服务|零配件|电池
563,宜兴市富陶环境保护设备有限公司,91320282718687614M,"3,680万(元)",86,轻质保温材料|人工智能应用开发|金属钢杆|软件销售|三级资质|一级资质|环境保护|软件开发|玻璃钢制品|填料
564,宜昌东阳光长江药业股份有限公司,91420000730842584F,"87,996.77万(元)",45,新药|制造商|华富|药品
565,宜昌量能新材料科技有限公司,91420526MA48YLTY7P,100万(元),62,非专利技术|化学新材料|专利技术|外商投资|批发|推广服务|三家企业|销售|咨询服务
566,宝山钢铁股份有限公司,91310000631696382C,"2,226,220.0234万(元)",62,智能转型|现代化钢铁联合企业|科技创新|绿色发展
567,宝德计算机系统股份有限公司,914403007542905182,"66,800万(元)",33,自强产品线|大数据|企业价值观|元宇宙|AI|特种领域产品线|区块链|5G|X86产品线|云计算
568,宝武集团中南钢铁有限公司,91440000191521916D,"1,631,730万(元)",53,中国钢铁行业|中国冶金报社|可持续发展|绿色发展|环保
569,宝能汽车集团有限公司,91440300MA5EE7EF65,"1,000,000万(元)",71,机械设备|物业管理|汽车租赁|汽车|电子产品
570,宝钢湛江钢铁有限公司,914408005724191142,"2,000,000万(元)",53,热连轧|厚板|钢铁|冷连轧|炼铁
571,富士康工业互联网股份有限公司,914403003296132911,"1,987,210.2687万(元)",53,工业互联网|智能制造|供应链|工业富联|移动通信
572,富士康科技集团有限公司,914403007084307436,"16,900万(美元)",53,电脑终端产品|云端网络产品|消费性电子产品|电子|元器件
573,富泰华工业（深圳）有限公司,91440300799229243N,"37,000万(美元)",53,全球排名|纳米技术|电子企业|环保制程技术|3C代工|无线通讯技术|服务器技术|企业社会责任|精密模具技术|平面显示器技术
574,富顺光电科技股份有限公司,91350600628586668C,"15,387万(元)",20,机电安装|节能环保|电子咨询|LED显示屏|电动汽车充电设施|太阳能路灯
575,寿光新泰精细化工有限公司,913707836657182289,"1,000万(元)",90,化工销售|危险化学品生产|化学品生产|化肥生产
576,尉氏县晟发有色金属炉料有限公司,-,100万(元),68,
577,小云雀健康管理有限公司,91310106MA1FYQRN9X,"5,000万(元)",53,市场策划|技术开发|技术服务|数据处理|健康咨询
578,小仙炖霸州食品有限公司,91131081MA0DJYDH77,"2,000万(元)",114,食品加工|食品生产|食品添加剂|化妆品|食品销售
579,小熊电器股份有限公司,91440606786454927J,"15,600万(元)",99,生产和销售|电商|员工数|创意小家电|绞肉机|市场占有率|电炖盅|加湿器|渠道分销|小熊电器
580,山东七维新材料有限公司,91370784MA3C3TA880,"12,176万(元)",62,轨道交通|高端装备|海工装备|水性涂层科技|新能源汽车|航空航天
581,山东中磁视讯股份有限公司,91370000773172699K,"8,443万(元)",29,电子元器件|计算机软硬件的开发|文化办公用品的销售
582,山东仕通化工有限公司,91370503789275027Q,"10,000万(元)",89,液化天然气|合成树脂|炼油|清洁能源|化学制品
583,山东佳怡供应链管理有限公司,91370125353497104L,"5,000万(元)",103,物联网|云计算|软件开发|食品销售|大数据分析
584,山东华安新材料有限公司,91370306668064194K,"11,666.54万(元)",62,化工产品|涂料|化学产品|合成材料|消毒剂
585,山东大展纳米材料有限公司,91371626575453182N,"5,750万(元)",62,光电子器件|新型催化材料|电子专用材料|高性能纤维|新材料|石墨烯材料|磁性材料|橡胶制品|新型陶瓷材料|技术进出口
586,山东大海新能源发展有限公司,913705236968583702,"100,000万(元)",66,股权投资|光伏发电项目|单晶硅片|芯片|多晶硅片|太阳能光伏系统|分布式光伏电站|光伏发电技术咨询|半导体外延|半导体分立器件
587,山东新时代药业有限公司,9137130072755352X1,"35,823.8万(元)",45,生产工艺|中西药原料|生物制药|基因工程|技术研发中心
588,山东汉典生物科技有限公司,913701045537441225,300万(元),44,
589,山东电力工程咨询院有限公司,91370000706203483C,"42,857.1429万(元)",66,智慧能源|火电机|核电|新能源|电网
590,山东省金春雨种业科技有限公司,91370828MA3Q8UX28L,"1,000万(元)",111,农业科学研究|技术开发|技术咨询|技术服务|生物技术
591,山东联欣环保科技有限公司,91370303MA3RGQHA59,"9,500万(元)",86,合成材料制造|技术开发|技术咨询|技术服务|合成材料销售
592,崇达技术股份有限公司,91440300192337600C,"88,897.664万(元)",20,智能手机|奋斗|工控|服务器|挑战|通讯设备|电脑|领先|全球|电路板
593,巴斯夫（中国）有限公司,913100007109210071,"14,000万(美元)",45,化工产品|物流自动化|电子产品|金融服务|工业自动化
594,市光法雷奥（佛山）汽车照明系统有限公司,914406007799870475,"3,500万(美元)",71,汽车照明系统|销售|技术服务|化工产品
595,希望启程网络科技(北京)有限公司,91110108355229277G,"1,000万(元)",53,企业文化交流|经济贸易咨询|数据处理|计算机系统服务|软件开发
596,希瓦生物科技（广州）有限公司,91440101MA5CJGE896,500万(元),45,化工产品代理|食品加工|化工产品|医药|化工产品检验检测|化工产品销售|化工产品批发|生物科技|精细化工|食品加工业
597,希肤科技（广州）有限公司,91440101MA59T9NP8K,500万(元),62,化妆品|塑料|材料|化学制品|服装
598,常州卓高化工新材料有限公司,91320412MA1MQGC19Y,100万(元),62,危险化学品|水性树脂|普通机械设备|消防器材|化工原料
599,常州聚为智能科技有限公司,91320411MA1ML5859F,500万(元),53,企业管理咨询|技术咨询|技术服务|化工产品销售|电子产品批发|技术培训|医疗器械销售|软件开发|知识产权服务|技术进出口
600,平高集团有限公司,91410400171780793H,"391,031万(元)",66,电力系统|清洁能源|电工|智能|绿色
601,广东一方制药有限公司,9144060528000534XG,"36,449.168万(元)",45,创新科技|中药配方颗粒|GMP认证|国际化|中医药
602,广东一纳科技有限公司,91441300MA537TEPXP,500万(元),68,纳米材料|电池|复合材料|实验室仪器
603,广东万年青制药股份有限公司,9144050019272917XC,"16,000万(元)",45,中药材采购|化妆品生产|日用百货生产|消毒产品生产|洗涤用品生产|无纺布生产|医疗器械生产|药品生产|对外投资
604,广东三源生活电器有限公司,91440604231836710T,900万(元),99,机械设备|零配件|电子|原材料|加工
605,广东世纪青山镍业有限公司,91441700574498012G,"66,000万(元)",53,金属冶炼|环保材料|机械设备|化工原料
606,广东世运电路科技股份有限公司,914407007740391448,"53,223.3万(元)",21,生产线|电路板
607,广东东升控股集团有限公司,91440101054537516C,"50,000万(元)",53,信息技术|物业|资产管理|投资管理|投资|软件开发|房地产
608,广东东实环境股份有限公司,914419000795277522,"50,000万(元)",86,安全咨询服务|噪声与振动控制服务|餐厨垃圾|肥料销售|清洁能源服务|固体废物治理|城市生活垃圾|肥料生产|会议及展览服务|燃气
609,广东东方管业有限公司,91440606714820326Q,"6,800万(元)",53,钢丝|钢管|PVC|化工材料
610,广东东晟密封科技有限公司,91441900577948445N,"1,000万(元)",53,液压气动元件|通用机械|机床附件|纺织品|机械密封配件|箱包及配件|模具|塑料及塑料制品|机械零部件|技术进出口
611,广东东泰金属制品有限公司,91440606712269227A,"3,000万(元)",53,塑料制品|机械设备|五金制品|金属制品|紧固件
612,广东东阳光科技控股股份有限公司,91440200673131734N,"301,387.4259万(元)",53,高新技术企业|博士后研究站|机械制造|电子材料|生物医药|立东|氟化工|工厂|全国重点发展行业|优质品牌
613,广东中南钢铁股份有限公司,914402002311293467,"241,952.441万(元)",53,应用|韶关钢铁|特殊钢材
614,广东中大南海海洋生物技术工程中心有限公司,91440000751061154U,"4,000万(元)",44,饲料|海洋生物|添加剂|鱼药|饵料
615,广东中泰工业科技股份有限公司,91441900777187281W,"9,549.9645万(元)",53,中泰模具|冷冲压模具|检夹具|汽车|热成形模具
616,广东中烟工业有限责任公司,91440000190329746K,"1,435,723.4万(元)",116,品牌发展|卷烟生产|企业实力|国际化|中烟工业
617,广东中煤江南工程勘测设计有限公司,91440111MA59D5YT2F,"5,000万(元)",83,监理服务|测量服务|水文分析|文物保护|建筑工程设计|水文服务|环境监测|岩土勘探|地质灾害治理
618,广东中科检测技术股份有限公司,91440300665894838E,"1,200万(元)",87,水污染物检测|土壤检测|环境检测|生活饮用水检测|机械设备销售|放射性物质检测|声能检测|废物处理|空气质量检测|海水中污染检测
619,广东中科精纳新材料技术有限公司,91440101MA9XX10U1Y,"1,000万(元)",62,新材料|电子|专用设备|特种设备|真空镀膜
620,广东中粘新材料科技有限公司,91440704MA4WY128XX,"3,000万(元)",62,3D 打印材料|粘合剂|包装袋
621,广东中艺国际储运有限公司,91440000231127375E,800万(元),103,
622,广东中达设计咨询有限公司,91440604MA4UUKRG28,"2,000万(元)",83,景区规划设计|房地产咨询|风景园林设计|策划创意|市场调研|城市规划设计|地理信息处理|信息系统集成|景观设计|市政工程设计
623,广东二十一世纪广告有限公司,9144000073410380XW,"1,000万(元)",83,广告|展览|活动策划|会议|咨询
624,广东云山汽车厂,91440101190443987G,952万(元),68,电池|技术|仓储|灯具|风力工具|维修|零部件|信号设备|车身|房地产
625,广东云浮云之水饮料有限公司,91445321079540172Y,500万(元),113,自动售货机|非酒精饮料|云水|矿泉水|食品制造设备
626,广东互信生物科技有限公司,91440781315140067X,"1,011.9万(元)",44,技术服务|养殖销售|食品加工销售|生物材料|农业销售
627,广东亿迅科技有限公司,914400007331299956,"15,000万(元)",43,工业互联网|智慧城市|数字政府|政法公安|交通物流
628,广东仁和康源生物科技有限公司,91440101MA5CR1FP7Y,"3,000万(元)",53,化妆品|食品添加剂|生物科技|茶叶作物|保健品
629,广东众信智能自动化设备有限公司,91442000MA51E0978U,500万(元),91,工业自动控制|电热食品加工|农副加工|农业机械|机械零件|仪器仪表
630,广东众和化塑股份公司,91440900731489997L,"31,572.6909万(元)",90,高分子材料|石化下游产业链|精细化工|核心技术|AAA企业
631,广东优凯科技有限公司,91440605MA4UWENQ3L,"1,245.353万(元)",53,部门|经营项目|化妆品生产|日用杂品销售|食品用洗涤剂生产|互联网销售|食品用洗涤剂销售|化妆品销售|厨具卫具|外商投资
632,广东优聚实业有限公司,914416233348828408,"2,000万(元)",53,塑料制品|塑胶与合成树脂|有机氟硅材料|消毒液|医用口罩|橡胶材料|医疗器械|劳保防护用品|纳米材料|非医用口罩
633,广东会议展览业协会,51440000732169522U,3万(元),53,经验交流|研究|管理|出版|咨询
634,广东佛斯弟车业有限公司,914406077730906260,"2,000万(元)",71,摩托车|零配件|五金工具|汽车|国际贸易
635,广东佳乐适生物科技有限公司,91440101MA5AQ8YR6Q,"1,000万(元)",53,化学制品批发|生物技术开发服务|食品添加剂|医药研发|医疗器械
636,广东佳富机电工程有限公司,914420007224787437,"1,000万(元)",67,电力设施|给排水设施|消防设施|建筑装饰
637,广东佳悦美视生物科技有限公司,91440101MA59FN4A6J,"1,250.0002万(元)",45,医疗研究|医药研发|医疗器械|医疗器械销售|化学药品
638,广东依顿电子科技股份有限公司,91440000721185260Y,"99,844.2611万(元)",20,技术|刚性线路板|柔性线路板|印刷线路板|荣誉
639,广东侨盛利科技有限公司,91440606MA51H28J1E,"1,000万(元)",53,材料销售|市场策划|技术开发|技术咨询|技术服务
640,广东信力科技股份有限公司,91441900707650402P,"4,160.8万(元)",53,轨道交通|新能源研究开发|汽车零部件|国际贸易|材料科学
641,广东信源物流设备有限公司,91440000190333235F,"5,000万(元)",78,安全防范|机电设备|环保设备|物业管理|市场推广|工业机器人|汽车零配件|信息系统|机械设备维护|国际贸易
642,广东信稳能控技术研究有限公司,91441208MABMJXJ87P,"1,000万(元)",53,技术创新|技术支持|工程项目
643,广东允诚再生资源有限公司,91440783768419554Q,"6,000万(元)",88,危险废物经营|石灰和石膏销售|再生资源回收|再生资源销售|金属材料销售
644,广东光华永盛科技有限公司,91440200056848107H,"1,800万(元)",83,幕墙框架|金属门窗|木材门窗|钢化玻璃|塑料门窗
645,广东光华科技股份有限公司,91440500192821099K,"39,832.1893万(元)",68,新能源材料|电子化学品|动力电池利用|化学试剂
646,广东农工商职业技术学院工会,81440000707697956D,,107,
647,广东冠网信息科技有限公司,914401016876644191,"1,001万(元)",22,智能监控|交通信号灯|软件开发|信息系统集成服务|安全技术防范
648,广东冠豪高新技术股份有限公司,91440800617803532R,"184,822.7178万(元)",53,国有企业|混改模式|高科技
649,广东凌丰五金装备科技股份有限公司,91445321MA4WTTT80Y,"1,000万(元)",91,工业机器人|非金属矿|通用设备|信息系统|智能控制系统|金属加工
