企业id,企业名称,统一社会信用代码,注册资本,category_id,keywords
80,东莞市百安石化仓储有限公司,91441900774014748R,"18,600万(元)",89,化工产品|国际贸易代理|仓储|装卸服务|报检
81,东莞市能优能源科技有限公司,914419000901366646,"1,550万(元)",68,电子元器件|能优能源|电子产品|聚合锂离子电池
82,东莞市能源投资集团有限公司,91441900198020743X,"10,000万(元)",132,技术开发|能源项目|投资管理|管理咨询
83,东莞市豪斯特热冲压技术有限公司,91441900082641476W,"34,666.68万(元)",91,焊接|冷冲模|技术支持|自动化|汽车零部件|热冲模
84,东莞市路桥投资建设有限公司,91441900281884489H,"10,000万(元)",132,管理和维护|收费|建设|相关产业|交通物业|市政公共设施|投资
85,东莞市通科电子有限公司,91441900564567424T,"3,000万(元)",20,传感器|芯片|电子|印刷电路板|封装
86,东莞市魔方新能源科技有限公司,91441900092966039Q,"2,600万(元)",53,电动汽车|技术开发|新能源材料|物业出租|货物出口
87,东莞市鸿邦金属有限公司,91441900MA56AEKM1J,100万(元),53,橡胶|塑料|体育用品|办公设备|家用电器|金属材料|电子产品|汽车零配件|五金|仪器仪表
88,东莞市鹏威能源科技有限公司,91441900592146432E,"1,780万(元)",68,电池|碳素|电子专用材料|零配件|生活用品|电子产品|投资|国际贸易|石墨|新型材料
89,东莞德芳油墨科技有限公司,9144190067136952X2,710万(美元),53,印刷油墨|聚氨酯漆稀释剂|水性环保油墨|印刷设备零部件
90,东莞新能源科技有限公司,9144190076159320X9,"6,959.3万(美元)",68,储能系统|可充式锂离子电池|便携式录像机|电动汽车|消费电子产品|电动工具|电芯|数码相机|封装|系统整合
91,东莞新荣精密汽车配件有限公司,91441900696496496K,"1,100万(美元)",57,汽车|精铸毛坯件|金属制品模具|五金配件
92,东莞方德泡绵制品厂有限公司,91441900617761715B,"1,341万(美元)",53,家具|塑料制品|技术服务|汽车装饰用品|海绵制品
93,东莞汉涛金属制造有限公司,91441900MA4X8MA87W,"4,160万(元)",53,布制品|玩具|家具|技术开发|小家电|外资|厨具|医疗器械|汽车配件|金属制造
94,东莞泰合复合材料有限公司,91441900752868718E,"2,300万(美元)",62,零配件|碳纤维制品|模具|高性能复合材料|自行车车架
95,东莞港务集团有限公司,914419007417030453,"224,652.5226万(元)",53,国内商业|房地产开发|专控
96,东莞特许科技有限公司,91441900MA566K631B,"1,000万(元)",46,医疗器械研究开发|塑料制品制造|电子产品销售|医疗器械经营许可|机械设备销售|医疗器械生产|办公用品销售|计算机系统服务|包装材料销售|医疗器械销售许可
97,东莞瑞柯电子科技股份有限公司,914419007665738229,"5,441万(元)",20,通用机械设备|电子产品|电机设备|房屋租赁
98,东莞长联新材料科技股份有限公司,914419006964875225,"4,832.99万(元)",62,环保型|功能助剂|数字化|纺织品|水性涂料
99,东莞鸿凌汽车饰件有限公司,91441900MA54QKUW9B,500万(元),53,汽车饰件|电子产品|汽车零配件|电脑配件|汽车隔音绵
100,东莞鸿图精密压铸有限公司,91441900738579960E,"45,120.4752万(香港元)",53,摩托车|关键零部件|汽车|铸锻|铝合金
101,东风本田发动机有限公司,914401017082635196,"12,158.3517万(美元)",53,汽车零部件|注册地|汽车发动机|外商投资
102,东风本田汽车零部件有限公司,914413006178880032,"6,250万(美元)",53,摩托车零配件|零配件|批发|汽车零部件|零售
103,东风汽车有限公司东风日产乘用车公司,91440101749934315Y,,71,乘用车|东风汽车|汽车|生产基地|NISSAN
104,中交四航工程研究院有限公司,914401011904709696,"3,789.3688万(元)",83,海外承包|机电设备|防水材料|批发贸易|承包业务|建设监理|工程研究|景观设计|沥青制品|建筑材料
105,中交广州水运工程设计研究院有限公司,91440101190461456Y,"10,000万(元)",80,机械设备研究|水文地质勘察|项目管理|工程设计服务|环保检测|水运工程设计|维修|电子产品|导航气象|海洋工程
106,中交第一公路勘察设计研究院有限公司,916100002205333358,"85,565.3261万(元)",82,隧道|交通建设|岩土工程|高速公路|桥梁
107,中交第二公路勘察设计研究院有限公司,91420100177668591H,"87,158.33万(元)",82,工程设计|景观规划|岩土工程|水利建设|公司实力
108,中交第四航务工程勘察设计院有限公司,91440101190519558G,"63,037.0088万(元)",74,工程设计|人员|设备|勘察设计|中交四航院
109,中交第四航务工程局有限公司,914401011904321294,"496,568.0904万(元)",82,隧道工程|水利水电|公路工程|市政工程|桥梁工程
110,中信数字媒体网络有限公司,9144030033536819XE,"100,000万(元)",42,广电行业|电子商务|数字媒体|信息咨询
111,中信网络有限公司,9144030071092606X2,"448,197.23万(元)",28,混合所有制改革|金融|制造业|资源能源|外资|工程承包|国际排名|牌照|房地产
112,中兴智能汽车有限公司,91440400MA4UT6196B,"91,500万(元)",71,电池|广告|汽车|电子商务|软件开发|市场营销
113,中兴通讯股份有限公司,9144030027939873X7,"461,343.4898万(元)",29,无线基站&核心网|智能交换机|中国企业500强|4G|智慧城市|收入|政企网|ICT业务|经营活动现金净流|数据中心
114,中国南方电网有限责任公司,9144000076384341X8,"9,020,000万(元)",69,国有企业|建设|电力|学习|香港|经营管理|南方电网|供电区域|澳门
115,中国南方航空股份有限公司,91440000100017600N,"1,812,088.9795万(元)",53,网络销售|机型|训练服务|代理业务|咨询
116,中国南方航空集团有限公司,91440000100005896P,"1,776,759.3371万(元)",53,
117,中国南航集团资本控股有限公司,91440101MA59NW4888,"600,000万(元)",132,资产管理|投资|咨询|项目投资
118,中国国旅（广东）国际旅行社股份有限公司,914400007408037221,"8,000万(元)",131,酒店|翻译|机票|导游|旅游|签证
