企业id,企业名称,统一社会信用代码,企业描述,注册资本,keywords,category_id
1793,济南三联盛管理服务有限公司,91370113MA7H2MQ79H,济南三联盛管理服务有限公司成立于2022年02月28日，注册地位于山东省济南市长清区崮云湖街道办事处中国美客艺术创业园A127，法定代表人为朱士华。经营范围包括一般项目:物业管理；餐饮管理；家政服务；商业综合体管理服务；工程管理服务；认证咨询；健康咨询服务（不含诊疗服务）；停车场服务；信息技术咨询服务；农业园艺服务；自有资金投资的资产管理服务；财务咨询；园区管理服务；城市绿化管理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；日用百货销售；医院管理；企业总部管理；化妆品批发；初级农产品收购；健身休闲活动；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；企业管理；公共事业管理服务；网络与信息安全软件开发；第一类医疗器械销售；企业管理咨询；汽车租赁；殡葬服务；以自有资金从事投资活动；护理机构服务（不含医疗服务）；居民日常生活服务；单位后勤管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：营业性演出；各类工程建设活动；建筑劳务分包；化妆品生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。济南三联盛管理服务有限公司对外投资2家公司。,500万(元),经营项目|公共事务管理|工程项目管理|家政服务|技术服务|化妆品销售|城市绿化管理|农业园艺服务|健康咨询|殡仪服务,53
1794,济南周行医药科技有限公司,91370102MA3C7J9Y9H,济南周行医药科技有限公司成立于2016年03月16日，注册地位于山东省济南市天桥区梓东大道1号鑫茂齐鲁科技城8号楼402室，法定代表人为李倩。经营范围包括一般项目：专用化学产品制造（不含危险化学品）；化工产品销售（不含许可类化工产品）；货物进出口；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；化妆品零售；保健食品（预包装）销售；第二类医疗器械销售；制药专用设备制造；专用化学产品销售（不含危险化学品）；合成材料销售；工程和技术研究和试验发展；化工产品生产（不含许可类化工产品）；国内贸易代理；工业用动物油脂化学品销售；生物化工产品技术研发；功能玻璃和新型光学材料销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：药品零售；兽药生产；兽药经营；药品进出口；化妆品生产；保健食品生产；药品生产；药品委托生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,100万(元),生物技术开发|兽药经营|药品委托生产|化工产品销售|新型光学材料|药品进出口|技术交流|兽药生产|技术转让|货物进出口,45
1795,济民健康管理股份有限公司,91330000610008739T,济民健康管理股份有限公司成立于1996年12月24日，注册地位于浙江省台州市黄岩区北院路888号，法定代表人为李丽莎。经营范围包括一般项目：健康咨询服务（不含诊疗服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；医院管理；第二类医疗器械销售；医用口罩零售；医用口罩批发；日用口罩（非医用）生产；日用口罩（非医用）销售；塑料制品制造；塑料制品销售；第一类医疗器械销售；第一类医疗器械生产；医用包装材料制造；包装材料及制品销售；产业用纺织制成品销售；产业用纺织制成品制造；企业总部管理；信息咨询服务（不含许可类信息咨询服务）；以自有资金从事投资活动(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：医疗服务；第二类医疗器械生产；货物进出口；医用口罩生产；药品生产；药品进出口；药品零售；技术进出口；第三类医疗器械经营；第三类医疗器械生产；药品批发(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。济民健康管理股份有限公司对外投资8家公司。,"53,723.7415万(元)",医疗器械经营|塑料制品制造|口罩销售|医药批发|技术服务|医疗器械生产|医疗器械销售|投资管理|纺织品制造|医疗咨询,53
1796,浙江万盛股份有限公司,9.133E+17,浙江万盛股份有限公司位于浙江省临海市，公司注册资本5.89亿，现有员工1100余人。公司于2014年10月上市（股票代码：603010），是省级高新技术企业研究开发中心和浙江省创新示范和试点企业。公司自成立以来一直专注于功能性精细化学品的生产、研发和销售，为全球最主要的磷系阻燃剂生产、供应商。经过20多年的发展，公司不断拓展业务板块，已经形成多业务板块齐头并进的良好发展态势，目前拥有浙江临海、江苏泰兴、山东潍坊、山东济宁4大生产基地，1个研究院，上海、江苏、浙江、广州4个大区域销售中心以及阻燃剂、家庭及个人护理品、胺助剂、催化剂、涂料助剂5大事业部，并设有欧洲万盛、英国万盛、美国万盛、香港万盛4家销售子公司，配备仓储、销售服务以及物流，构建成全球化的销售网络。公司产品在行业内享有较高的品牌影响力和美誉度，产品远销美国、欧洲、南美、韩国、日本、东南亚等40多个国家和地区，已同拜耳、陶氏化学、科思创、巴斯夫、SABIC、金发科技、万华化学等国内外知名企业建立了长期的合作关系。公司以“绿色为基，以低碳引领安全、可持续发展；科技向善，以创新助力美好、高品质生活”为使命，坚持“诚信、务实、自律、包容”的企业核心价值观，朝着“全球一流功能性新材料企业”方向迈进。,"58,957.8593万(元)",功能性精细化学品|销售网络|国际市场|多业务板块|企业文化|研发与销售,89
1797,浙江东盛慧谷投资发展有限公司,91330621MA2BDQ7X7R,浙江东盛慧谷投资发展有限公司成立于2018年02月02日，注册地位于浙江省绍兴市柯桥区安昌街道柯海大道1299号东盛慧谷9幢二楼209室，法定代表人为张军。经营范围包括实业投资、创业投资、资产管理、投资咨询；高新技术成果孵化、技术开发、技术咨询、技术转让；科技中介服务；房屋租赁；仪器设备租赁；物业管理；会展服务；翻译服务；停车场服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）浙江东盛慧谷投资发展有限公司对外投资9家公司。,"5,000万(元)",技术开发|展览服务|物业出租|科技项目|设备租赁|孵化|翻译服务|咨询服务,132
1798,浙江云电笔智能科技有限公司,91330501MA2JJ7W04K,浙江云电笔智能科技有限公司成立于2021年03月16日，注册地位于浙江省湖州市港隆创业大厦803室-1，法定代表人为申岩。经营范围包括一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；信息系统集成服务；软件开发；人工智能应用软件开发；网络与信息安全软件开发；社会经济咨询服务；人工智能公共服务平台技术咨询服务；人工智能基础软件开发；人工智能行业应用系统集成服务；智能仪器仪表制造；智能仪器仪表销售；智能机器人的研发；工业机器人销售；数字视频监控系统销售；数字视频监控系统制造；电力设施器材制造；电力设施器材销售；消防器材销售；新材料技术研发；合成材料制造（不含危险化学品）；合成材料销售；专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；技术进出口；货物进出口；工程和技术研究和试验发展；在线能源监测技术研发；物联网技术研发(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,"1,000万(元)",网络安全|人工智能|智能制造|云计算|软件开发,37
1799,浙江亿可利环保科技有限公司,91330482087392587K,浙江亿可利环保科技有限公司成立于2013年12月20日，注册地位于浙江省嘉兴市平湖市曹桥街道龙安路885号1幢B区101，法定代表人为沈逍江。经营范围包括一般项目：工程和技术研究和试验发展；农林废物资源化无害化利用技术研发；智能基础制造装备制造；环境保护专用设备制造；环境保护专用设备销售；生态环境材料销售；土壤污染治理与修复服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程管理服务；货物进出口；技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。浙江亿可利环保科技有限公司对外投资1家公司。,"3,250万(元)",废弃物处理|环境友好型|环境监测|国际贸易|智能化,86
1800,浙江天猫技术有限公司,91330100563015652A,浙江天猫技术有限公司是2010年成立的网络技术公司，地址位于杭州余杭区五常街道五常大道168号二层，经营范围是网络商城技术。公司荣誉：2019年浙江高新企业百强榜排名第63位。,"11,474.2147万(美元)",2021|网络商城技术|荣誉|网络技术,53
1801,浙江新和成股份有限公司,91330000712560575G,浙江新和成股份有限公司创建于1999年，2004年上市（股票代码002001）。自成立以来，公司始终坚持创新驱动发展和在市场竞争中成长的理念，专注于营养品、香料、高分子材料等功能化学品的研发、生产、销售和服务，为全球100多个国家和地区的客户在营养健康、日化护理、交通、环保、能源等领域提供综合解决方案，以优质、健康、绿色、低碳的产品不断改善人类生活品质，为利益相关方创造可持续的价值。目前，公司已成功跻身中国精细化工百强、中国上市公司百强，正朝着全球领先的功能化学品企业愿景目标迈进。,"309,090.7356万(元)",新成股份|高分子材料|营养品|香料|功能化学品,90
1802,浙江昂利康健康有限公司,91330114MA2KLA4C4M,浙江昂利康健康有限公司成立于2021年12月29日，注册地位于浙江省杭州市钱塘区下沙街道福城路501号银海科创中心11幢601室-1，法定代表人为吕慧浩。经营范围包括一般项目：健康咨询服务（不含诊疗服务）；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；保健食品（预包装）销售；特殊医学用途配方食品销售；第一类医疗器械销售；第二类医疗器械销售；中草药种植；中草药收购；地产中草药(不含中药饮片）购销；农副产品销售；消毒剂销售（不含危险化学品）；包装材料及制品销售；信息技术咨询服务；社会经济咨询服务；市场营销策划；企业管理咨询；会议及展览服务；互联网销售（除销售需要许可的商品）；广告设计、代理；医学研究和试验发展；社会调查（不含涉外调查）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：药品批发；第三类医疗器械经营(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,"1,000万(元)",社会调查|广告设计|企业管理咨询|市场营销策划|信息服务|许可证申请|市场调研|保健食品销售|法律咨询|健康咨询,53
1803,浙江纳美新材料股份有限公司,91330500565885862J,浙江纳美新材料股份有限公司成立于2010年12月02日，注册地位于浙江省湖州市安吉县孝源街道康一路1883号，法定代表人为赵磊。经营范围包括笔用墨水、水性液体染料、水性颜料色浆生产，销售；新材料的技术开发、技术咨询；化工原料及产品（除危险化学品及易制毒化学品）销售；货物进出口业务。浙江纳美新材料股份有限公司对外投资4家公司。,"4,570万(元)",新材料|笔用墨水|水性颜料色浆|水性液体染料|化工原料,62
1804,浙江舜宇光学有限公司,9.13303E+17,浙江舜宇光学有限公司是舜宇光学科技（集团）有限公司的核心子公司，是国家高新技术企业、浙江省人民政府质量管理创新奖、宁波市市长质量奖获得企业。公司长期聚焦于光学产品领域，主要生产成像类镜头，并已成功量产感知类镜头、显示类和微纳光学器件产品。2021年公司手机镜头出货量全球市占率26.6%，在全球遭新冠疫情影响下，公司手机镜头全球市占率连续两年排名第一。公司长期聚焦于光学产品领域，30多年来一直以光学零部件为核心，主要生产成像类镜头，还成功量产机器视觉类镜头、显示类和半导体光学产品。截至2021年底，公司拥有授权专利1600余项，具有月产手机镜头200KK的生产能力，产品搭载于多家国际知名公司的多款产品。,"43,000万(元)",感知类镜头|成像类镜头|微纳光学器件|显示类镜头|光学产品,27
1805,浙江舟环环境工程设计有限公司,91330901MA28K04880,浙江舟环环境工程设计有限公司成立于2015年10月16日，注册地位于舟山港综合保税区企业服务中心301-765室，法定代表人为张玉汝。经营范围包括建设项目环境影响评价、环保技术咨询、环境监理、承包环境工程治理、环境工程设计及设备安装、环境检测；建筑材料、金属材料、塑料材料（不含危险品）、电器、锅炉、电子产品的销售。浙江舟环环境工程设计有限公司对外投资3家公司，具有1处分支机构。,"1,000万(元)",项目监理|工程设计|承包工程|环保咨询|环境评估,86
1806,浙江赛灵特医药科技有限公司,91330110253917407A,浙江赛灵特医药科技有限公司成立于1995年07月05日，注册地位于浙江省杭州市余杭区黄湖镇兴湖路9号，法定代表人为刘天航。经营范围包括生产：生物制品（猪源纤维蛋白粘合剂），第二、三类6864医用卫生材料及敷料，第三类6865医用缝合材料及粘合剂，第三类6815注射穿刺器械，第二类6866医用高分子材料及制品。（上述经营范围中涉及前置审批项目的，在批准的有效期内方可经营）收购本企业生产所需的原辅材料（限直接向第一产业的原始生产者收购），房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）浙江赛灵特医药科技有限公司对外投资1家公司。,"6,784.2万(元)",生物制品|医疗用品|原材料采购|注射针,45
1807,浩吉铁路股份有限公司,91110000055610797M,浩吉铁路股份有限公司成立于2012年09月28日，注册地位于北京市丰台区科学城海鹰路9号院2号楼，法定代表人为田利民。经营范围包括铁路运输；工程设计；工程勘察；销售食品；住宿；普通货物道路运输（使用清洁能源、新能源车辆的道路货物运输业户除外）；国内水路运输；境内旅游业务；铁路货物运输；铁路运输维护活动；货运火车站（场）；铁路货运枢纽；货运代理；供应链管理服务；其他铁路运输辅助活动；工程和技术研究与试验发展；工程管理服务；销售煤炭（不在北京地区开展实物煤的交易、储运活动）；工程项目管理；技术咨询、技术推广、技术服务；房地产开发；商业综合体管理服务；园区管理服务；物业管理；机动车公共停车场服务；设计、制作、代理、发布广告；经济贸易咨询；软件开发；机械设备租赁；会议服务；清洁服务。（企业依法自主选择经营项目，开展经营活动；国内水路运输、境内旅游业务、销售食品、铁路运输、道路货物运输、住宿、工程勘察、工程设计以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）浩吉铁路股份有限公司对外投资1家公司，具有4处分支机构。,"5,985,000万(元)",货物运输|技术支持|建筑设计|铁路|能源,53
1808,海光信息技术股份有限公司,9.11201E+17,海光信息技术股份有限公司成立于2014年，是天津市高新技术企业，国产服务器CPU芯片的龙头，主要从事高端处理器、加速器等计算芯片产品和系统的研究、开发，公司最大股东中科曙光（603019.SH）为沪市主板上市公司，其实际控制人为中国科学院计算技术研究所。海光公司已经组建了千人规模的研发团队，吸引了大批有成就的优秀科技人才，其中具有博士、硕士学位的人员占员工总数的80%以上，涵盖了CPU/DCU关键技术研究、处理器核心和SoC芯片研发、定制与模拟电路、生产工艺、封装测试、基础软件及系统研发等各个环节。,"232,433.8091万(元)",技术创新|计算芯片|海光信息|高级处理器,33
1809,海南中坤渝安投资有限公司,91469005780725394B,海南中坤渝安投资有限公司成立于2006年01月10日，注册地位于文昌市清澜经济开发区旅游大道西侧南三栋，法定代表人为郑愉广。经营范围包括航道扩建整治、围海吹填造地、土地深度开发、房地产经营、土地整治、设备租赁、IT产业、投资咨询、资产托管、物业管理、实业开发、旅游开发、酒店经营、SPA、酒店管理技术培训；广告发布代理；住宿服务；餐饮服务；客房、茶楼、酒吧，足浴、健身房、游泳池、桑拿及水疗，洗涤服务、洗车及停车、棋牌室；会议；美容服务；旅游；复印、打印及翻译服务；花卉出租及销售；小商场经营；代理票务；娱乐表演；婚庆礼仪服务；儿童游乐设施经营使用，儿童教育娱乐服务，烟酒、报刊、杂志、书籍、工艺品及旅游纪念品、酒店用品、预包装食品及散装食品、儿童玩具、工艺品、儿童服饰销售。海南中坤渝安投资有限公司对外投资3家公司，具有2处分支机构。,"37,500万(元)",IT产业|婚礼策划|资产管理|旅游|会议|房地产开发,132
1810,海南嘉丰海洋工程服务有限公司,91460300MAA9117B6K,海南嘉丰海洋工程服务有限公司成立于2021年08月23日，注册地位于海南省洋浦经济开发区新英湾区保税港区远洋路3号办公楼1单元501-2，法定代表人为王祥晖。经营范围包括许可项目：国内船舶管理业务；省际普通货船运输、省内船舶运输（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：对外承包工程；水下系统和作业装备制造；水下系统和作业装备销售；海洋工程装备制造；海洋工程装备销售；海洋服务；海上风电相关系统研发；海上风电相关装备销售；国际船舶管理业务；无船承运业务；船舶租赁；国际船舶代理；从事国际集装箱船、普通货船运输；国内货物运输代理；海上国际货物运输代理；国内船舶代理；陆路国际货物运输代理；航空国际货物运输代理；国内集装箱货物运输代理；住房租赁；物业管理；运输设备租赁服务；集装箱租赁服务；机械设备租赁；仓储设备租赁服务；金属制品销售；机械设备销售；金属材料销售；化工产品销售（不含许可类化工产品）；电气设备销售；港口理货；打捞服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）,"1,000万(元)",海上风电|合同代理|机械设备租赁|物业管理|航运代理|海外投资|房屋出租|电设备销售|港口理货|冶金材料销售,74
